S.No,Date,Tele Caller,Description ,Contact Number,Status,Source,Category,Call Type,Remarks,Company
129,25-04-22,Eswarya,Junk Lead,8979619626,Invalid number,CRM,Residence,Inactive,Nil,Budanta
130,25-04-22,Eswarya,Junk Lead,9962810506,Not interested ,CRM,Residence,Inactive,Nil,Budanta
131,25-04-22,Eswarya,Junk Lead,6374010770,Out of district,CRM,Residence,Inactive,Nil,Budanta
132,25-04-22,Eswarya,Junk Lead,9560646606,Out of district,CRM,Residence,Inactive,Nil,Budanta
133,25-04-22,Eswarya,Junk Lead,9786503781,Not interested ,CRM,Residence,Inactive,Nil,Budanta
134,25-04-22,Eswarya,Junk Lead,9882547211,Invalid number,CRM,Residence,Inactive,Nil,Budanta
135,25-04-22,Eswarya,Junk Lead,9786503781,Duplicate,CRM,Residence,Inactive,Nil,Budanta
136,25-04-22,Eswarya,Junk Lead,9751362383,Not required,CRM,Residence,Inactive,Nil,Budanta
137,25-04-22,Eswarya,Junk Lead,9566947323,Not interested ,CRM,Residence,Inactive,Nil,Budanta
138,25-04-22,Eswarya,Junk Lead,9626538949,Not required,CRM,Residence,Inactive,Nil,Budanta
139,25-04-22,Eswarya,Junk Lead,9854214752,Invalid number,CRM,Residence,Inactive,Nil,Budanta
140,25-04-22,Eswarya,Junk Lead,8940220099,Not required,CRM,Residence,Inactive,Nil,Budanta
141,25-04-22,Eswarya,Junk Lead,9786503781,Invalid number,CRM,Residence,Inactive,Nil,Budanta
142,25-04-22,Eswarya,Junk Lead,9751132883,Not interested ,CRM,Residence,Inactive,Nil,Budanta
143,25-04-22,Eswarya,Junk Lead,7094246570,Out of district,CRM,Residence,Inactive,Nil,Budanta
144,25-04-22,Eswarya,Junk Lead,9585338413,Out of district,CRM,Residence,Inactive,Nil,Budanta
145,25-04-22,Eswarya,Junk Lead,9159362519,Not interested ,CRM,Residence,Inactive,Nil,Budanta
146,25-04-22,Eswarya,Junk Lead,8098727079,Not required,CRM,Residence,Inactive,Nil,Budanta
147,25-04-22,Eswarya,Junk Lead,9786503781,Out of district,CRM,Residence,Inactive,Nil,Budanta
148,25-04-22,Eswarya,Junk Lead,9943604055,Out of district,CRM,Residence,Inactive,Nil,Budanta
149,25-04-22,Eswarya,Junk Lead,9751902275,Out of district,CRM,Residence,Inactive,Nil,Budanta
150,25-04-22,Eswarya,Zaitoon Restaurant,44420222,Call back,Cold calling ,Restaurant,Active,Call back,Budanta
151,25-04-22,Eswarya,Hotel Royal Plaza,4443831628,Call back,Cold calling ,Hotel,Active,Call back,Budanta
152,25-04-22,Eswarya,7 Hills Service Apartment,9566227693,Interested,Cold calling ,Hotel,Active,Shared catelogue to customer,Budanta
153,25-04-22,Eswarya,Cookgramam,9840426888,Not required,Cold calling ,Restaurant,Active,Nil,Budanta
154,25-04-22,Eswarya,Junk Lead,9380351748,Out of district,CRM,Residence,Inactive,Nil,Budanta
155,25-04-22,Eswarya,Junk Lead,9787753664,Out of district,CRM,Residence,Inactive,Nil,Budanta
156,26-04-22,Eswarya,Junk Lead,9849189219,Not interested ,CRM,Residence,Inactive,Nil,Budanta
157,26-04-22,Eswarya,Junk Lead,6325987100,Invalid number,CRM,Residence,Inactive,Nil,Budanta
158,26-04-22,Eswarya,Junk Lead,9786503781,Duplicate,CRM,Residence,Inactive,Nil,Budanta
159,26-04-22,Eswarya,Junk Lead,9798651651,Invalid number,CRM,Residence,Inactive,Nil,Budanta
160,26-04-22,Eswarya,Junk Lead,9786503781,Duplicate,CRM,Residence,Inactive,Nil,Budanta
161,26-04-22,Eswarya,Junk Lead,9843280022,Not interested ,CRM,Residence,Inactive,Nil,Budanta
162,26-04-22,Eswarya,Junk Lead,7979161618,Out of district,CRM,Residence,Inactive,Nil,Budanta
163,26-04-22,Eswarya,Junk Lead,9787030856,Out of district,CRM,Residence,Inactive,Nil,Budanta
164,26-04-22,Eswarya,Junk Lead,9875061000,Invalid number,CRM,Residence,Inactive,Nil,Budanta
165,26-04-22,Eswarya,Junk Lead,9515458515,Out of district,CRM,Residence,Inactive,Nil,Budanta
166,26-04-22,Eswarya,Junk Lead,8489495276,Out of district,CRM,Residence,Inactive,Nil,Budanta
167,26-04-22,Eswarya,Junk Lead,7373620704,Out of district,CRM,Residence,Inactive,Nil,Budanta
